State,Population
Idaho,"1,939,033"
Louisiana,"4,590,241"
Maine,"1,385,340"
New Hampshire,"1,395,231"
Florida,"22,244,823"
Illinois,"12,582,032"
New York,"19,677,151"
Oklahoma,"4,019,800"
Montana,"1,122,867"
Pennsylvania,"12,972,008"
